duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
230040,1990,0.227,0.643,0.341,0.0,0.0689,-15.934,0.0383,130.688,0.64,45
190573,1965,0.932,0.231,0.227,0.0,0.111,-13.858,0.0422,62.728,0.277,13
303827,1978,0.421,0.884,0.468,0.534,0.17,-11.74,0.0428,112.549,0.755,37
133267,1960,0.773,0.449,0.248,0.000266,0.12,-13.804,0.0373,124.308,0.456,11
221560,1958,0.9,0.486,0.382,0.0,0.133,-11.141,0.0553,141.936,0.658,23
163010,1955,0.991,0.743,0.399,0.127,0.188,-8.948,0.37,159.357,0.961,0
311507,2006,0.641,0.595,0.489,0.0415,0.159,-9.68,0.145,132.35,0.196,43
177831,1953,0.831,0.487,0.645,0.537,0.519,-5.844,0.0359,81.373,0.452,6
137107,1957,0.771,0.693,0.289,0.0,0.149,-12.576,0.0411,89.323,0.907,18
132800,1962,0.676,0.665,0.434,0.000577,0.12,-11.613,0.0362,102.084,0.836,12
220173,2002,0.177,0.61,0.784,0.0,0.36,-7.469,0.0473,98.97,0.698,58
169200,1997,0.346,0.643,0.504,0.0,0.247,-11.231,0.0395,91.688,0.705,40
150766,1936,0.974,0.839,0.291,0.0,0.0987,-11.796,0.0564,129.267,0.792,1
212400,2000,0.0359,0.528,0.742,3.17e-06,0.123,-5.501,0.0294,123.51,0.66,35
181373,1967,0.618,0.482,0.219,0.00104,0.109,-14.364,0.0355,119.381,0.248,23
218240,2019,0.136,0.608,0.845,0.0,0.111,-2.292,0.0597,98.976,0.322,64
202293,1977,0.00139,0.634,0.947,0.905,0.0693,-7.743,0.0315,129.322,0.955,22
188573,2016,0.759,0.634,0.382,0.0021,0.101,-12.877,0.0363,81.971,0.2,61
286720,2007,0.0218,0.598,0.899,0.0137,0.0814,-3.861,0.0424,124.061,0.403,52
352897,1998,0.519,0.499,0.567,2.53e-06,0.122,-6.1,0.0285,150.983,0.144,48
252773,1948,0.98,0.091,0.0325,0.875,0.0982,-28.868,0.0399,83.639,0.038,0
189400,1997,0.0369,0.625,0.663,0.0,0.161,-10.258,0.0281,123.019,0.737,42
309773,2013,0.795,0.302,0.515,0.904,0.079,-9.303,0.0414,150.285,0.111,58
239493,1990,0.00441,0.538,0.725,0.00678,0.138,-9.713,0.0374,165.863,0.946,27
169733,1980,0.842,0.666,0.5,0.619,0.1,-13.333,0.278,94.64,0.73,31
275973,2012,0.989,0.23,0.217,0.892,0.0844,-13.464,0.0386,157.084,0.156,54
418893,2002,0.672,0.517,0.574,0.0,0.697,-7.614,0.285,170.117,0.727,40
208590,2020,0.0104,0.703,0.646,0.0,0.191,-6.658,0.0596,141.87,0.64,74
217573,2000,0.00437,0.667,0.818,0.761,0.288,-9.149,0.0594,136.957,0.761,73
181360,1937,0.974,0.69,0.263,0.000508,0.139,-11.783,0.0932,125.178,0.864,0
207320,1935,0.957,0.398,0.364,0.0,0.311,-11.186,0.0301,142.718,0.722,0
304922,1980,0.443,0.862,0.838,0.346,0.0356,-6.678,0.0644,121.981,0.939,30
132773,1969,0.877,0.269,0.0902,0.821,0.302,-23.018,0.042,82.423,0.0462,34
161347,2011,0.319,0.69,0.794,0.0,0.34,-2.576,0.0474,119.944,0.505,56
213000,1977,0.85,0.731,0.235,0.000366,0.0951,-15.123,0.0323,99.545,0.296,32
181600,1962,0.902,0.254,0.154,0.00229,0.118,-13.296,0.0396,174.018,0.243,22
170560,2010,0.0302,0.684,0.622,1.09e-06,0.277,-5.313,0.0334,125.974,0.368,51
143467,1991,0.421,0.763,0.353,1.16e-05,0.319,-14.738,0.0673,127.617,0.883,39
159475,1942,0.991,0.49,0.587,0.0122,0.805,-7.934,0.0489,119.99,0.569,7
296582,1935,0.723,0.629,0.175,5.31e-06,0.118,-20.536,0.966,167.899,0.465,0
309387,2007,0.123,0.633,0.649,0.509,0.0679,-7.323,0.0383,151.96,0.488,43
177933,1971,0.762,0.468,0.313,0.0,0.263,-9.252,0.0297,112.599,0.37,37
272093,1929,0.977,0.325,0.171,0.879,0.541,-16.912,0.0497,89.229,0.22,0
196867,1964,0.943,0.291,0.142,1.09e-05,0.121,-16.337,0.0365,110.683,0.27,31
218707,1997,0.0316,0.633,0.754,2.27e-05,0.091,-6.495,0.0382,137.047,0.641,64
246227,2003,0.253,0.438,0.47,1.07e-06,0.301,-7.053,0.0257,83.056,0.292,49
158424,2019,0.956,0.261,0.0257,0.878,0.111,-25.711,0.0406,72.323,0.0795,68
151683,2015,0.664,0.747,0.422,0.00277,0.392,-10.008,0.0294,111.141,0.595,55
191947,1951,0.995,0.341,0.0413,1.39e-05,0.344,-19.519,0.0425,141.387,0.379,0
174400,1925,0.736,0.464,0.867,0.543,0.386,-7.986,0.135,119.664,0.497,3
218533,1988,0.000112,0.305,0.833,0.0231,0.095,-10.005,0.0497,96.581,0.594,31
198627,1983,0.00416,0.79,0.259,0.00813,0.0941,-16.079,0.0676,75.554,0.816,53
362813,2013,0.0284,0.712,0.726,4.48e-05,0.104,-7.346,0.0248,111.069,0.558,50
325067,1983,0.0391,0.673,0.526,0.00313,0.0443,-15.157,0.0527,90.67,0.851,45
243213,2006,0.000102,0.442,0.971,0.0087,0.439,-2.28,0.0592,182.119,0.525,43
234240,2016,0.0234,0.378,0.925,0.00062,0.18,-3.781,0.185,108.525,0.584,65
191733,1933,0.978,0.447,0.0433,6.15e-06,0.0843,-13.787,0.0369,114.877,0.223,11
327355,1973,0.016,0.302,0.251,2.93e-05,0.117,-14.142,0.0343,142.766,0.104,35
370360,1957,0.975,0.5,0.122,0.0627,0.14,-15.333,0.0412,66.824,0.384,41
166667,1984,0.000162,0.483,0.697,0.188,0.27,-10.446,0.038,127.154,0.818,33
245160,1935,0.723,0.523,0.31,0.0197,0.115,-10.652,0.0302,133.914,0.289,0
203468,1942,0.975,0.691,0.255,0.094,0.107,-14.594,0.0765,118.036,0.795,0
242000,1990,0.215,0.872,0.313,2.56e-06,0.0845,-15.137,0.374,140.244,0.963,35
164107,1931,0.986,0.658,0.126,0.000361,0.117,-16.402,0.126,99.626,0.378,0
